name,imdb_avg,num,fb_likes
Zuhair Haddad,7.6,1,18000
Zooey Deschanel,6.388888889,9,99000
Zoe Ventoura,4.3,1,84
Zoe Lister-Jones,6.2,1,331
Zoë Kravitz,6.566666667,3,2829
Zoe Kazan,6.55,2,1924
Zak Penn,6.6,1,87
Zack Ward,7.02,5,3310
Zachary Knighton,7.2,1,262
Zachary Gordon,6.633333333,3,2925
Zach Gilford,6.65,4,3884
Yuri Lowenthal,5.7,1,354
Yuliya Snigir,5.3,1,463
Yul Vazquez,6.9,1,96
Yuki Matsuzaki,7.9,1,378
Yu-mi Jeong,7.2,1,28
Yorick van Wageningen,7.1,1,163
Yolande Moreau,2.9,1,44
Ye Liu,7.7,1,52
Yaya DaCosta,5.7,1,712
Yasmine Al Massri,7.2,1,227
Yaphet Kotto,7.166666667,3,1743
Yangzom Brauen,6.2,1,29
Ximena Ayala,7,1,31
Xander Berkeley,6.6,1,485
Woody Strode,5.9,1,423
Woody Allen,6.96,10,110000
Wood Harris,7.1,2,818
Woo-sung Jung,6.9,1,149
Willie Garson,6.6,2,1024
William Smith,6.8,3,2757
William Schallert,5.1,1,901
William Morgan Sheppard,7.2,1,702
William McNamara,4.85,4,40000
William Kircher,7.3,1,109
William Katt,8,1,505
William Joseph Elk III,6.9,1,96
William Hurt,6.8,4,3528
William Hootkins,6.9,1,488
William Holden,8.1,2,1364
William Gates,8.3,1,7
William Baldwin,7.4,1,436
Will Smith,6.731578947,19,190000
Will Rothhaar,6.3,1,386
Will Patton,6.2,1,537
Will Forte,6.225,4,2488
Will Ferrell,6.195,20,160000
Wilford Brimley,7.3,3,2871
Wesley Jonathan,2.75,2,1184
Wes Studi,7.8,1,855
Wendi McLendon-Covey,5.9,1,655
Wei Zhao,7.3,1,478
Wei Tang,6.2,1,215
Wayne Knight,8.1,1,967
Warren Christie,5.2,1,520
Warren Beatty,6.8,1,631
Ward G. Smith,5.5,1,393
Wanda Sykes,5.2,1,560
Walter Koenig,7,1,643
Walter Hendrix III,4.8,1,846
Wagner Moura,7.133333333,3,1755
W. Earl Brown,7.2,1,422
Vivica A. Fox,5.775,8,7120
Virginia Madsen,6.366666667,3,2737
Virginia Leith,4.1,1,24
Violante Placido,6.3,1,978
Vinessa Shaw,6.7,1,580
Vincent Schiavelli,6.5,1,811
Vincent Pastore,5.05,4,2336
Vincent Gallo,5,1,787
Vincent Chimato,3.5,1,685
Vin Diesel,6.390909091,11,154000
Viggo Mortensen,6.658333333,12,120000
Vidya Balan,7.7,2,928
Victoria Jackson,6.9,1,338
Victor Wong,5.125,4,1600
Victor Rasuk,7.2,1,302
Vic Mignogna,3.7,1,578
Veronica Taylor,5.6,1,88
Veronica Ferres,6.3,1,30000
Vernon Wells,7.6,1,745
Vernon Dobtcheff,8,1,50
Verne Troyer,6.2,1,645
Vera Ngassa,7.5,1,2
Vanna Bonta,6.2,1,21000
Vanessa Williams,5.65,6,6000
Vanessa Redgrave,6.775,4,3592
Vanessa Lengies,6.1,1,804
Vanessa Ferlito,4.1,1,923
Usher Raymond,1.6,1,569
Ursula Andress,7.3,1,650
Ulrich Tukur,7.8,1,63
