actor_1_name,genres,score,actor_1_facebook_likes,Num
William McNamara,Western,3.8,10000,1
Michael Fassbender,Western,6.9,13000,1
Keith Carradine,Western,5.3,584,1
Joseph Campanella,Western,4.1,32,1
Harry Carey Jr.,Western,7.4,281,1
Dennis Quaid,Western,7.1,2000,1
Clint Eastwood,Western,7.733333333,48000,3
Claudia Cardinale,Western,8.6,973,1
Brigitte Bardot,Western,5.5,984,1
Barry Corbin,Western,7.1,883,1
Gary Cooper,Thriller|Western,8.1,998,1
Jeanne Moreau,Thriller|War,7.9,343,1
Topher Grace,Thriller,5.8,4000,2
Tatyana Ali,Thriller,4.8,685,1
Tamara Toumanova,Thriller,6.7,18,1
Takuya Kimura,Thriller,5.5,84,1
Radivoje Bukvic,Thriller,6.4,150,1
Paula Garc?s,Thriller,4.5,587,1
Paul Sheehan,Thriller,3.9,473,1
Noel Gugliemi,Thriller,5.2,2000,1
Michael Berryman,Thriller,4.5,721,1
Melissa Bolona,Thriller,3.4,11000,1
Jo Hartley,Thriller,6.9,49,1
Ian Gamazon,Thriller,6.3,0,1
Frances Fisher,Thriller,5.4,638,1
Emraan Hashmi,Thriller,4.8,724,1
Daston Kalili,Thriller,5.8,2,1
Danny Dyer,Thriller,5.6,798,1
Brian Austin Green,Thriller,4.3,676,1
Bokeem Woodbine,Thriller,3.9,904,1
Bernard Cribbins,Thriller,7.5,195,1
Zooey Deschanel,Sci-Fi|Thriller,5,11000,1
Sean Whalen,Sci-Fi|Thriller,4,407,1
Roger Rees,Sci-Fi|Thriller,5.9,1000,1
Matthew Broderick,Sci-Fi|Thriller,7.1,2000,1
Logan Lerman,Sci-Fi|Thriller,7.7,8000,1
Lin Shaye,Sci-Fi|Thriller,6.1,852,1
Harrison Ford,Sci-Fi|Thriller,8.2,11000,1
Gary Weeks,Sci-Fi|Thriller,6.4,452,1
David Wayne,Sci-Fi|Thriller,7.2,116,1
Chris Gauthier,Sci-Fi|Thriller,6.1,434,1
James Urbaniak,Sci-Fi,6.3,119,1
George Peppard,Sci-Fi,5.2,669,1
Ashanti,Sci-Fi,2.8,341,1
Necar Zadegan,Romance|Short,5.2,344,1
Matt Damon,Romance|Sci-Fi|Thriller,7.1,13000,1
Zoe Lister-Jones,Romance,6.2,331,1
Diane Sorrentino,Romance,5.1,17,1
Bhavkhandan Singh Rakhra,Romance,6.6,258,1
Annabelle Wallis,Romance,5.1,421,1
Clint Eastwood,Mystery|Western,7.6,16000,1
Tommy O'Reilly,Mystery|Thriller,3.2,1000,1
Tom Hanks,Mystery|Thriller,6.65,30000,2
Shaun Sipos,Mystery|Thriller,6.6,322,1
Ryan Guzman,Mystery|Thriller,4.6,3000,1
Robert Pine,Mystery|Thriller,6.5,332,1
Paul Walker,Mystery|Thriller,6.6,23000,1
Nicolas Cage,Mystery|Thriller,6.5,12000,1
Nancy Allen,Mystery|Thriller,7.4,517,1
Melanie Griffith,Mystery|Thriller,6.8,537,1
Logan Lerman,Mystery|Thriller,6.4,8000,1
Leonardo DiCaprio,Mystery|Thriller,8.1,29000,1
Kendyl Joi,Mystery|Thriller,5.6,23,1
