actor_1_name,movie_title,genres,title_year,imdb_score,movie_facebook_likes
CCH Pounder,Avatar,Action|Adventure|Fantasy|Sci-Fi,2009,7.9,33000
Johnny Depp,Pirates of the Caribbean: At World's End,Action|Adventure|Fantasy,2007,7.1,0
Christoph Waltz,Spectre,Action|Adventure|Thriller,2015,6.8,85000
Tom Hardy,The Dark Knight Rises,Action|Thriller,2012,8.5,164000
Daryl Sabara,John Carter,Action|Adventure|Sci-Fi,2012,6.6,24000
J.K. Simmons,Spider-Man 3,Action|Adventure|Romance,2007,6.2,0
Brad Garrett,Tangled,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,2010,7.8,29000
Chris Hemsworth,Avengers: Age of Ultron,Action|Adventure|Sci-Fi,2015,7.5,118000
Alan Rickman,Harry Potter and the Half-Blood Prince,Adventure|Family|Fantasy|Mystery,2009,7.5,10000
Henry Cavill,Batman v Superman: Dawn of Justice,Action|Adventure|Sci-Fi,2016,6.9,197000
Kevin Spacey,Superman Returns,Action|Adventure|Sci-Fi,2006,6.1,0
Giancarlo Giannini,Quantum of Solace,Action|Adventure,2008,6.7,0
Johnny Depp,Pirates of the Caribbean: Dead Man's Chest,Action|Adventure|Fantasy,2006,7.3,5000
Johnny Depp,The Lone Ranger,Action|Adventure|Western,2013,6.5,48000
Henry Cavill,Man of Steel,Action|Adventure|Fantasy|Sci-Fi,2013,7.2,118000
Peter Dinklage,The Chronicles of Narnia: Prince Caspian,Action|Adventure|Family|Fantasy,2008,6.6,0
Chris Hemsworth,The Avengers,Action|Adventure|Sci-Fi,2012,8.1,123000
Johnny Depp,Pirates of the Caribbean: On Stranger Tides,Action|Adventure|Fantasy,2011,6.7,58000
Will Smith,Men in Black 3,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,2012,6.8,40000
Aidan Turner,The Hobbit: The Battle of the Five Armies,Adventure|Fantasy,2014,7.5,65000
Emma Stone,The Amazing Spider-Man,Action|Adventure|Fantasy,2012,7,56000
Mark Addy,Robin Hood,Action|Adventure|Drama|History,2010,6.7,17000
Aidan Turner,The Hobbit: The Desolation of Smaug,Adventure|Fantasy,2013,7.9,83000
Christopher Lee,The Golden Compass,Adventure|Family|Fantasy,2007,6.1,0
Naomi Watts,King Kong,Action|Adventure|Drama|Romance,2005,7.2,0
Leonardo DiCaprio,Titanic,Drama|Romance,1997,7.7,26000
Robert Downey Jr.,Captain America: Civil War,Action|Adventure|Sci-Fi,2016,8.2,72000
Liam Neeson,Battleship,Action|Adventure|Sci-Fi|Thriller,2012,5.9,44000
Bryce Dallas Howard,Jurassic World,Action|Adventure|Sci-Fi|Thriller,2015,7,150000
Albert Finney,Skyfall,Action|Adventure|Thriller,2012,7.8,80000
J.K. Simmons,Spider-Man 2,Action|Adventure|Fantasy|Romance,2004,7.3,0
Robert Downey Jr.,Iron Man 3,Action|Adventure|Sci-Fi,2013,7.2,95000
Johnny Depp,Alice in Wonderland,Adventure|Family|Fantasy,2010,6.5,24000
Hugh Jackman,X-Men: The Last Stand,Action|Adventure|Fantasy|Sci-Fi|Thriller,2006,6.8,0
Steve Buscemi,Monsters University,Adventure|Animation|Comedy|Family|Fantasy,2013,7.3,44000
Glenn Morshower,Transformers: Revenge of the Fallen,Action|Adventure|Sci-Fi,2009,6,0
Bingbing Li,Transformers: Age of Extinction,Action|Adventure|Sci-Fi,2014,5.7,56000
Tim Holmes,Oz the Great and Powerful,Adventure|Family|Fantasy,2013,6.4,60000
Emma Stone,The Amazing Spider-Man 2,Action|Adventure|Fantasy|Sci-Fi,2014,6.7,41000
Jeff Bridges,TRON: Legacy,Action|Adventure|Sci-Fi,2010,6.8,30000
Joe Mantegna,Cars 2,Adventure|Animation|Comedy|Family|Sport,2011,6.3,10000
Ryan Reynolds,Green Lantern,Action|Adventure|Sci-Fi,2011,5.6,24000
Tom Hanks,Toy Story 3,Adventure|Animation|Comedy|Family|Fantasy,2010,8.3,30000
Christian Bale,Terminator Salvation,Action|Adventure|Sci-Fi,2009,6.6,0
Jason Statham,Furious 7,Action|Crime|Thriller,2015,7.2,94000
Peter Capaldi,World War Z,Action|Adventure|Horror|Sci-Fi|Thriller,2013,7,129000
Jennifer Lawrence,X-Men: Days of Future Past,Action|Adventure|Fantasy|Sci-Fi|Thriller,2014,8,82000
Benedict Cumberbatch,Star Trek Into Darkness,Action|Adventure|Sci-Fi,2013,7.8,92000
Eddie Marsan,Jack the Giant Slayer,Adventure|Fantasy,2013,6.3,22000
Leonardo DiCaprio,The Great Gatsby,Drama|Romance,2013,7.3,115000
